Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Th mean,Nucleus: Th sum,Nucleus: Th std dev,Nucleus: Th max,Nucleus: Th min,Nucleus: Th range,Nucleus: Trpc6 mean,Nucleus: Trpc6 sum,Nucleus: Trpc6 std dev,Nucleus: Trpc6 max,Nucleus: Trpc6 min,Nucleus: Trpc6 range,Nucleus: Dapi mean,Nucleus: Dapi sum,Nucleus: Dapi std dev,Nucleus: Dapi max,Nucleus: Dapi min,Nucleus: Dapi range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Th mean,Cell: Th std dev,Cell: Th max,Cell: Th min,Cell: Trpc6 mean,Cell: Trpc6 std dev,Cell: Trpc6 max,Cell: Trpc6 min,Cell: Dapi mean,Cell: Dapi std dev,Cell: Dapi max,Cell: Dapi min,Cytoplasm: Th mean,Cytoplasm: Th std dev,Cytoplasm: Th max,Cytoplasm: Th min,Cytoplasm: Trpc6 mean,Cytoplasm: Trpc6 std dev,Cytoplasm: Trpc6 max,Cytoplasm: Trpc6 min,Cytoplasm: Dapi mean,Cytoplasm: Dapi std dev,Cytoplasm: Dapi max,Cytoplasm: Dapi min,Nucleus/Cell area ratio
123_3.tif,79181d18-b85d-4d75-ae31-8130aab1d9ca,Cell,,,VTA,Polygon,488.02,326.63,32.4237,22.626,0.7959,8.1082,5.4342,0.7861,2.3945,965,1.6812,22,1,21,3.5261,1421,9.9229,83,1,82,230.5831,92925,49.6206,255,26,229,180.6694,50.1157,0.904,18.131,12.7861,0.7097,2.6905,2.3232,22,1,2.888,8.1711,98,1,56.2007,86.4128,255,0,2.7553,2.437,21,1,2.7482,7.7305,98,1,17.9864,20.9104,158,0,0.1762
123_3.tif,6951ad70-72c9-4412-a0c2-321590fc8f7d,Cell,,,VTA,Polygon,462.44,327.53,12.421,13.5001,0.8564,4.8247,3.2527,0.6932,2.5064,391,1.6559,11,1,10,3.7564,586,9.7837,52,1,51,35.1731,5487,30.0971,134,2,132,155.9887,44.6977,0.9811,14.7713,13.2066,0.4141,2.8764,2.9533,45,1,3.4178,9.2804,79,1,19.607,21.0806,136,2,2.9089,3.039,45,1,3.3881,9.2373,79,1,18.2413,19.5257,136,2,0.0797
123_3.tif,6aa01301-208f-4e20-b3d5-3418d0b87ece,Cell,,,VTA,Polygon,487.28,337.79,46.2159,25.8625,0.8683,8.6119,7.328,0.4911,2.8199,1613,2.9248,31,2,29,2.8007,1602,8.1905,69,1,68,196.0245,112126,61.0206,255,46,209,163.4091,50.7511,0.7972,17.8552,12.2557,0.6621,2.8268,2.8678,35,1,3.2279,8.8265,79,1,70.6892,87.6717,255,1,2.8296,2.8461,35,1,3.3959,9.0615,79,1,21.4165,25.2688,143,1,0.2802
123_3.tif,1111f78b-379e-4fd0-9b92-160c14de8fed,Cell,,,VTA,Polygon,378.72,337.82,54.6041,29.6897,0.7784,9.9751,8.2981,0.5841,2.5742,1753,4.3522,98,1,97,3.0734,2093,9.805,121,1,120,227.5947,154992,44.6531,255,24,231,186.5573,51.5813,0.8811,17.4346,14.0323,0.5541,2.6479,3.4752,98,1,3.8596,11.8239,155,1,111.397,103.7052,255,1,2.6787,3.0369,65,1,4.1873,12.5582,155,1,62.9694,80.2009,255,1,0.2901
123_3.tif,b5e72aaa-2e2e-4cd0-8766-054e799e4598,Cell,,,VTA,Polygon,501.06,341.11,60.3307,36.2533,0.5768,12.8298,7.8255,0.8232,2.963,2243,2.8603,23,2,21,3.5918,2719,9.928,85,1,84,66.1664,50088,38.9989,216,2,214,257.8572,61.4707,0.8575,22.8209,14.8209,0.7835,3.005,3.2203,52,1,3.3317,9.3343,99,1,31.4195,32.6358,216,2,3.018,3.3244,52,1,3.251,9.1431,99,1,20.6482,20.8295,136,2,0.2353
123_3.tif,a5b7b0a2-9789-45e2-8888-46056c4d258d,Cell,,,VTA,Polygon,425.08,337.93,21.5352,18.917,0.7562,6.9628,4.7534,0.7197,3.1336,868,4.028,38,2,36,3.4513,956,9.3442,57,1,56,31.3285,8678,24.9365,117,2,115,165.7481,47.906,0.9076,16.8161,12.3255,0.6735,2.8814,3.0509,45,1,3.4895,9.5722,80,1,19.9251,20.176,126,2,2.8421,2.8685,45,1,3.4955,9.6097,80,1,18.1506,18.7239,126,2,0.1309
123_3.tif,a31e99d7-6940-4d31-821a-01bd6951a8bf,Cell,,,VTA,Polygon,360.61,339.16,43.7156,25.7864,0.8262,8.9748,7.1316,0.6142,2.3382,1286,1.6992,20,1,19,2.7691,1523,8.2543,83,1,82,244.5854,134522,29.9418,255,55,200,186.5573,52.7817,0.8415,18.8643,12.5885,0.7591,2.6128,3.2286,98,1,2.615,7.7222,83,1,96.0709,107.272,255,0,2.6984,3.5702,98,2,2.5669,7.5504,71,1,49.7653,76.1028,255,0,0.2364
123_3.tif,e8c2eda2-b27f-47d3-a8ea-73ac21e0233f,Cell,,,VTA,Polygon,439.66,340.3,21.7771,19.4567,0.7229,6.8843,4.7466,0.649,2.7978,775,2.5951,25,2,23,3.3755,935,8.4117,50,1,49,36.787,10190,28.4855,132,2,130,191.1547,49.9408,0.9631,16.9866,14.0935,0.5412,2.8084,2.5877,33,1,2.9219,8.437,88,1,18.1671,20.4142,132,2,2.8098,2.5873,33,1,2.8619,8.4405,88,1,15.7028,17.6886,115,2,0.1153
123_3.tif,89633040-449e-4b65-a337-8fd98e76a945,Cell,,,VTA,Polygon,316.96,344.66,63.073,30.0121,0.88,9.8377,8.4038,0.4714,2.5134,1973,2.1262,26,1,25,2.2497,1766,6.4313,60,1,59,219.4076,172235,53.5932,255,31,224,282.4573,60.4094,0.9726,19.7699,18.2993,0.2857,2.8553,2.7846,31,1,2.9763,8.5488,88,1,65.2643,88.9989,255,0,2.954,2.9404,31,1,3.1862,9.059,88,1,20.7454,23.087,234,0,0.2251
123_3.tif,3b5973a8-7f3a-4382-b9cb-8e557489b409,Cell,,,VTA,Polygon,389.87,344.45,24.3581,23.0667,0.5753,8.8431,4.9942,0.8391,2.7928,849,2.3136,21,1,20,4.4572,1355,12.3606,84,1,83,32.0559,9745,24.9763,118,2,116,102.7557,38.9249,0.8522,14.5628,10.0116,0.7263,2.8106,2.5036,24,1,3.8928,10.5262,84,1,23.0767,22.5491,122,2,2.8162,2.5611,24,1,3.7166,9.8848,73,1,20.2741,20.9765,122,2,0.2317
