Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Trpc6 mean,Nucleus: Trpc6 sum,Nucleus: Trpc6 std dev,Nucleus: Trpc6 max,Nucleus: Trpc6 min,Nucleus: Trpc6 range,Nucleus: Dapi mean,Nucleus: Dapi sum,Nucleus: Dapi std dev,Nucleus: Dapi max,Nucleus: Dapi min,Nucleus: Dapi range,Nucleus: Th mean,Nucleus: Th sum,Nucleus: Th std dev,Nucleus: Th max,Nucleus: Th min,Nucleus: Th range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Trpc6 mean,Cell: Trpc6 std dev,Cell: Trpc6 max,Cell: Trpc6 min,Cell: Dapi mean,Cell: Dapi std dev,Cell: Dapi max,Cell: Dapi min,Cell: Th mean,Cell: Th std dev,Cell: Th max,Cell: Th min,Cytoplasm: Trpc6 mean,Cytoplasm: Trpc6 std dev,Cytoplasm: Trpc6 max,Cytoplasm: Trpc6 min,Cytoplasm: Dapi mean,Cytoplasm: Dapi std dev,Cytoplasm: Dapi max,Cytoplasm: Dapi min,Cytoplasm: Th mean,Cytoplasm: Th std dev,Cytoplasm: Th max,Cytoplasm: Th min,Nucleus/Cell area ratio
9937_4.tif,1882050c-c7a9-42cb-949b-5358d731c8dd,Cell,,,VTA,Polygon,556.18,212.13,65.1701,29.8006,0.9222,10.0946,8.3278,0.5462,4.3559,3537,6.6943,56,2,54,229.1182,186044,40.7567,255,22,233,2.7734,2252,2.2747,28,2,26,217.9325,54.8515,0.9102,19.8894,14.484,0.6214,4.5296,6.8211,60,2,83.811,99.9179,255,1,2.8339,2.0494,28,2,4.6041,6.8752,60,2,21.4487,24.5061,231,1,2.8599,1.9448,18,2,0.2976
9937_4.tif,dcc2e574-8511-4060-adb7-e9a1e2995b11,Cell,,,VTA,Polygon,493.29,221.73,46.4579,28.6559,0.711,10.1191,7.5999,0.6186,4.8847,2838,8.4298,74,2,72,228.7625,132911,51.0483,255,26,229,2.6386,1533,2.2245,24,2,22,251.0015,58.8981,0.9092,20.2448,16.4755,0.5649,4.4857,7.2963,84,2,87.8445,94.9953,255,2,2.8455,2.3241,29,2,4.3942,7.0091,84,2,55.5091,69.9571,255,2,2.893,2.3442,29,2,0.1855
9937_4.tif,cc94b0fe-013d-4b17-bdf2-072adbbacbae,Cell,,,VTA,Polygon,468.89,228.06,40.9732,25.0459,0.8208,9.2571,6.0857,0.764,3.5867,1840,5.7582,70,2,68,230.924,118464,44.4457,255,60,195,2.614,1341,2.0298,23,2,21,157.7631,48.1174,0.8563,16.0717,13.321,0.5241,4.213,6.9458,74,2,80.0807,96.0314,255,2,2.8851,2.4301,39,2,4.4353,7.3102,74,2,26.5287,29.0602,186,2,2.9813,2.5509,39,2,0.2614
9937_4.tif,8a04d84e-d37d-4cb6-b4de-d8cd50bde376,Cell,,,VTA,Polygon,454.61,229.03,66.2186,36.2865,0.632,13.7083,7.5772,0.8219,3.9952,3296,6.3676,55,2,53,238.7309,196953,38.5569,255,9,246,2.5442,2099,2.0087,24,2,22,220.3522,58.4765,0.8098,22.3696,14.0902,0.7447,3.9313,6.268,55,2,145.8121,106.2925,255,2,2.5124,1.8132,24,2,3.9037,6.226,49,2,105.6981,100.9828,255,2,2.4987,1.7223,23,2,0.3016
9937_4.tif,e7d6882e-98df-4a39-a24f-29911458a7cf,Cell,,,VTA,Polygon,511.14,232.94,68.9609,32.4493,0.823,12.8109,7.4764,0.8186,4.4784,3838,7.2719,70,2,68,212.3606,181993,54.3298,255,42,213,2.6266,2251,1.9624,20,2,18,305.4443,63.3756,0.9556,22.7132,17.324,0.6495,5.5044,9.1123,146,2,62.2324,86.8907,255,1,3.5376,3.5466,59,2,5.8044,9.5643,146,2,18.3212,19.313,192,1,3.8041,3.8496,59,2,0.2258
9937_4.tif,fe6e5b3b-85aa-451d-8fbf-6f5c8626c92e,Cell,,,VTA,Polygon,486.59,235.61,83.237,42.1868,0.5877,15.764,9.1805,0.8122,4.1409,4290,6.3885,54,2,52,205.8716,213283,62.1429,255,11,244,2.9324,3038,2.9696,54,2,52,291.4908,67.5307,0.8032,25.8547,15.2953,0.8312,5.0028,7.8891,83,2,79.822,91.3238,255,2,4.0293,5.0138,62,2,5.3487,8.3928,83,2,29.2263,34.6241,255,2,4.4696,5.5694,62,2,0.2849
9937_4.tif,e35c5763-b8ae-4b7f-8115-b2cf5a44bdfc,Cell,,,VTA,Polygon,438.82,233.59,32.7463,28.7863,0.4966,10.1382,6.05,0.8895,3.6126,1492,5.7564,49,2,47,193.4794,79907,59.0952,255,43,212,2.6029,1075,1.7618,13,2,11,183.3311,49.901,0.9252,17.1922,14.5852,0.5379,4.1275,6.7421,61,2,61.9473,74.9143,255,2,2.5987,1.9085,25,2,4.2417,6.938,61,2,32.7728,37.3288,255,2,2.5977,1.94,25,2,0.1795
9937_4.tif,63eef4e8-3a62-4a22-bed0-bfed03813acf,Cell,,,VTA,Polygon,469.92,237.95,17.341,16.843,0.7681,6.2557,4.0789,0.7192,3.8065,826,5.7726,37,2,35,196.8065,42707,57.1676,255,47,208,2.5991,564,1.7188,16,2,14,57.3464,32.2721,0.6919,12.4013,8.1962,0.7505,4.3964,6.9418,46,2,85.437,87.0435,255,2,2.7633,1.9877,17,2,4.6539,7.3852,46,2,36.8109,40.8955,255,2,2.835,2.0919,17,2,0.2975
9937_4.tif,334193f6-51c3-4e74-a7e4-3b82c2d68e8c,Cell,,,VTA,Polygon,453.9,244.8,119.1289,55.3657,0.4884,18.0168,11.8574,0.7519,4.473,6638,7.1235,68,2,66,230.8598,342596,42.7353,255,26,229,2.7608,4097,2.1523,24,2,22,257.1313,64.1615,0.7849,22.1222,16.507,0.6035,4.5135,7.1477,68,2,135.5085,102.6641,255,2,2.7151,2.0989,31,2,4.5485,7.1705,63,2,52.7591,57.9745,255,2,2.6754,2.0513,31,2,0.4634
9937_4.tif,7da425da-8744-40d4-ab8e-7436b42bf4b9,Cell,,,VTA,Polygon,545.94,241.79,37.2631,24.2276,0.7978,8.7695,5.8812,0.7204,3.3398,1553,3.6425,30,2,28,203.7462,94742,48.1163,255,15,240,2.5011,1163,1.2984,13,2,11,143.3257,48.0325,0.7807,17.2718,11.3057,0.7512,3.8263,4.6574,44,2,64.7527,87.9479,255,2,2.6166,1.5019,18,2,3.9985,4.9569,44,2,15.5654,19.8201,254,2,2.6575,1.566,18,2,0.2588
9937_4.tif,f734596f-61d6-43f9-9a74-14e988cf878e,Cell,,,VTA,Polygon,463.58,239.47,15.8086,15.3824,0.8396,5.2785,4.0303,0.645,4.5693,923,6.9079,50,2,48,221.7327,44790,54.2638,255,33,222,2.7277,551,2.2417,18,2,16,38.7955,24.9814,0.7812,9.9109,5.112,0.8465,4.614,7.0052,50,2,120.115,98.7522,255,2,2.6858,1.9694,18,2,4.6456,7.0853,41,2,48.0912,45.3204,251,2,2.6561,1.7546,13,2,0.4033
9937_4.tif,dccaf61a-3a7b-4fa4-b97b-2aab144b6600,Cell,,,VTA,Polygon,478.39,243.4,48.1516,25.4742,0.9324,8.7589,7.3147,0.558,4.79,2874,7.5046,62,2,60,232.4,139440,42.3541,255,14,241,3.0033,1802,2.6731,21,2,19,146.8746,48.3126,0.7907,18.3532,10.4838,0.7917,5.3986,8.4688,71,2,92.4605,104.1212,255,1,3.1859,2.8045,30,2,5.6969,8.891,71,2,23.8627,31.055,255,1,3.2753,2.8635,30,2,0.3285
