Group,mouse_ID,slice,Metric,Label,Value
sgTrpc6,1299,1,Count,Th,340.0
sgTrpc6,1299,1,Count,Trpc6,226.0
sgTrpc6,1299,1,Count,Th:Trpc6,598.0
sgTrpc6,1299,1,Mean_all,Th,73.17425063965885
sgTrpc6,1299,1,Mean_all,Trpc6,24.906673543689323
sgTrpc6,1299,1,Mean_Th_pos,Th,73.17425063965885
sgTrpc6,1299,1,Mean_Th_pos,Trpc6,28.95810719063545
sgTrpc6,1299,1,Mean_Th_neg,Th,
sgTrpc6,1299,1,Mean_Th_neg,Trpc6,14.186508407079645
sgTrpc6,1299,2,Count,Th,401.0
sgTrpc6,1299,2,Count,Trpc6,257.0
sgTrpc6,1299,2,Count,Th:Trpc6,580.0
sgTrpc6,1299,2,Mean_all,Th,57.62154118246687
sgTrpc6,1299,2,Mean_all,Trpc6,25.008645400238947
sgTrpc6,1299,2,Mean_Th_pos,Th,57.62154118246687
sgTrpc6,1299,2,Mean_Th_pos,Trpc6,27.25272017241379
sgTrpc6,1299,2,Mean_Th_neg,Th,
sgTrpc6,1299,2,Mean_Th_neg,Trpc6,19.944196498054474
sgTrpc6,1299,4,Count,Th,363.0
sgTrpc6,1299,4,Count,Trpc6,163.0
sgTrpc6,1299,4,Count,Th:Trpc6,318.0
sgTrpc6,1299,4,Mean_all,Th,57.02573803230543
sgTrpc6,1299,4,Mean_all,Trpc6,20.459692515592515
sgTrpc6,1299,4,Mean_Th_pos,Th,57.02573803230543
sgTrpc6,1299,4,Mean_Th_pos,Trpc6,21.937043081761004
sgTrpc6,1299,4,Mean_Th_neg,Th,
sgTrpc6,1299,4,Mean_Th_neg,Trpc6,17.577499386503064
sgRosa26,9693,1,Count,Th,258.0
sgRosa26,9693,1,Count,Trpc6,95.0
sgRosa26,9693,1,Count,Th:Trpc6,304.0
sgRosa26,9693,1,Mean_all,Th,43.492990391459074
sgRosa26,9693,1,Mean_all,Trpc6,22.080350125313288
sgRosa26,9693,1,Mean_Th_pos,Th,43.492990391459074
sgRosa26,9693,1,Mean_Th_pos,Trpc6,22.662623026315792
sgRosa26,9693,1,Mean_Th_neg,Th,
sgRosa26,9693,1,Mean_Th_neg,Trpc6,20.217076842105264
sgRosa26,9693,2,Count,Th,178.0
sgRosa26,9693,2,Count,Trpc6,170.0
sgRosa26,9693,2,Count,Th:Trpc6,305.0
sgRosa26,9693,2,Mean_all,Th,53.04640517598343
sgRosa26,9693,2,Mean_all,Trpc6,24.003451789473687
sgRosa26,9693,2,Mean_Th_pos,Th,53.04640517598343
sgRosa26,9693,2,Mean_Th_pos,Trpc6,29.751724262295085
